tiempo,distancia,setpoint,error,derivada,integral,delta_pwm,pwm
0.007,34.95,10.00,24.95,873.25,0.00,0.00,250.00
0.057,34.30,10.00,24.30,563.06,0.00,0.00,250.00
0.107,34.94,10.00,24.94,370.47,0.00,0.00,250.00
0.157,34.94,10.00,24.94,240.81,0.00,0.00,250.00
0.207,34.43,10.00,24.43,152.95,0.00,0.00,250.00
0.257,34.43,10.00,24.43,99.42,0.00,0.00,250.00
0.307,34.43,10.00,24.43,64.62,0.00,12.00,258.40
0.357,34.17,10.00,24.17,40.18,0.00,12.00,266.80
0.407,34.17,10.00,24.17,26.12,0.00,12.00,275.20
0.457,34.17,10.00,24.17,16.98,0.00,12.00,283.60
0.507,33.92,10.00,23.92,9.29,0.00,12.00,292.00
0.557,33.92,10.00,23.92,6.04,0.00,12.00,300.40
0.607,33.92,10.00,23.92,3.92,0.00,12.00,308.80
0.657,33.92,10.00,23.92,2.55,0.00,8.00,314.40
0.707,33.92,10.00,23.92,1.66,0.00,8.00,320.00
0.757,34.17,10.00,24.17,2.83,0.00,8.00,325.60
0.807,34.17,10.00,24.17,1.84,0.00,8.00,331.20
0.857,34.17,10.00,24.17,1.19,0.00,7.06,336.14
0.907,34.17,10.00,24.17,0.78,0.00,6.07,340.39
0.957,34.17,10.00,24.17,0.50,0.00,5.35,344.14
1.007,34.17,10.00,24.17,0.33,0.00,4.99,347.63
1.058,34.70,10.00,24.70,3.85,0.00,11.96,356.00
1.108,34.95,10.00,24.95,4.25,0.00,12.00,364.40
1.158,34.95,10.00,24.95,2.76,0.00,8.00,370.00
1.208,34.95,10.00,24.95,1.80,0.00,8.00,375.60
1.258,34.95,10.00,24.95,1.17,0.00,7.00,380.50
1.308,34.68,10.00,24.68,-1.13,0.00,2.17,382.03
1.358,34.95,10.00,24.95,1.15,0.00,6.97,386.91
1.408,34.68,10.00,24.68,-1.14,0.00,2.16,388.42
1.458,34.15,10.00,24.15,-4.45,0.00,0.54,388.80
1.508,34.15,10.00,24.15,-2.89,0.00,1.50,389.85
1.558,34.15,10.00,24.15,-1.88,0.00,1.50,390.90
1.608,34.15,10.00,24.15,-1.22,0.00,2.04,392.33
1.658,34.15,10.00,24.15,-0.79,0.00,2.68,394.21
1.708,34.15,10.00,24.15,-0.52,0.00,3.14,396.40
1.758,34.15,10.00,24.15,-0.34,0.00,3.37,398.76
1.808,34.15,10.00,24.15,-0.22,0.00,3.55,401.25
1.858,34.15,10.00,24.15,-0.14,0.00,3.69,403.83
1.908,34.15,10.00,24.15,-0.09,0.00,3.79,406.49
1.958,34.15,10.00,24.15,-0.06,0.00,3.86,409.19
2.008,34.15,10.00,24.15,-0.04,0.00,3.91,411.92
2.058,34.15,10.00,24.15,-0.03,0.00,3.94,414.68
2.109,34.15,10.00,24.15,-0.02,0.00,3.96,417.45
2.159,34.15,10.00,24.15,-0.01,0.00,3.97,420.23
2.209,34.15,10.00,24.15,-0.01,0.00,3.98,423.02
2.259,34.17,10.00,24.17,0.14,0.00,4.48,426.15
2.309,34.17,10.00,24.17,0.09,0.00,4.32,429.18
2.359,34.41,10.00,24.41,1.74,0.00,8.00,434.78
2.409,34.14,10.00,24.14,-0.76,0.00,2.73,436.69
2.459,34.14,10.00,24.14,-0.49,0.00,3.17,438.91
2.509,34.14,10.00,24.14,-0.32,0.00,3.39,441.29
2.559,34.17,10.00,24.17,0.00,0.00,4.00,444.09
2.609,34.15,10.00,24.15,-0.14,0.00,3.69,446.68
2.660,34.17,10.00,24.17,0.05,0.00,4.18,449.60
2.711,34.15,10.00,24.15,-0.11,0.00,3.76,452.23
