tiempo,distancia,setpoint,error,derivada,integral,delta_pwm,pwm
0.007,33.93,20.00,13.93,487.55,0.00,0.00,250.00
0.057,34.71,20.00,14.71,322.37,0.00,0.00,250.00
0.107,34.71,20.00,14.71,209.54,0.00,0.00,250.00
0.157,34.71,20.00,14.71,136.20,0.00,0.00,250.00
0.208,33.95,20.00,13.95,83.31,0.00,0.00,250.00
0.259,33.95,20.00,13.95,54.15,0.00,12.00,258.40
0.309,33.95,20.00,13.95,35.20,0.00,12.00,266.80
0.359,34.46,20.00,14.46,26.45,0.00,12.00,275.20
0.409,33.95,20.00,13.95,13.62,0.00,12.00,283.60
0.460,33.93,20.00,13.93,8.72,0.00,12.00,292.00
0.511,33.95,20.00,13.95,5.80,0.00,12.00,300.40
0.562,34.19,20.00,14.19,5.42,0.00,12.00,308.80
0.612,34.46,20.00,14.46,5.41,0.00,12.00,317.20
0.662,34.20,20.00,14.20,1.70,0.00,8.00,322.80
0.712,34.20,20.00,14.20,1.10,0.00,6.86,327.61
0.762,34.46,20.00,14.46,2.54,0.00,8.00,333.21
0.812,34.46,20.00,14.46,1.65,0.00,8.00,338.81
0.862,34.20,20.00,14.20,-0.75,0.00,2.75,340.73
0.912,34.46,20.00,14.46,1.33,0.00,7.43,345.93
0.962,34.20,20.00,14.20,-0.95,0.00,2.41,347.62
1.012,34.20,20.00,14.20,-0.62,0.00,2.97,349.70
1.062,34.19,20.00,14.19,-0.47,0.00,3.20,351.94
1.113,33.93,20.00,13.93,-2.09,0.00,1.50,352.99
1.164,33.68,20.00,13.68,-3.08,0.00,1.46,354.01
1.214,33.93,20.00,13.93,-0.25,0.00,3.50,356.46
1.264,33.93,20.00,13.93,-0.16,0.00,3.65,359.02
1.314,33.93,20.00,13.93,-0.11,0.00,3.76,361.65
1.364,34.48,20.00,14.48,3.78,0.00,11.59,369.77
1.414,34.48,20.00,14.48,2.46,0.00,8.00,375.37
1.464,34.48,20.00,14.48,1.60,0.00,8.00,380.97
1.514,34.48,20.00,14.48,1.04,0.00,6.74,385.68
1.564,34.48,20.00,14.48,0.68,0.00,5.80,389.74
1.614,34.46,20.00,14.46,0.30,0.00,4.92,393.19
1.665,34.46,20.00,14.46,0.19,0.00,4.65,396.44
1.715,34.46,20.00,14.46,0.13,0.00,4.45,399.56
1.765,34.46,20.00,14.46,0.08,0.00,4.30,402.57
1.815,34.46,20.00,14.46,0.05,0.00,4.20,405.51
1.865,34.46,20.00,14.46,0.03,0.00,4.13,408.41
1.915,34.46,20.00,14.46,0.02,0.00,4.09,411.27
1.965,34.46,20.00,14.46,0.01,0.00,4.06,414.11
2.015,34.44,20.00,14.44,-0.13,0.00,3.71,416.71
2.065,34.44,20.00,14.44,-0.08,0.00,3.80,419.37
2.115,33.95,20.00,13.95,-3.49,0.00,1.24,420.23
2.165,33.95,20.00,13.95,-2.27,0.00,1.50,421.28
2.215,33.93,20.00,13.93,-1.61,0.00,1.50,422.33
2.265,33.93,20.00,13.93,-1.05,0.00,2.28,423.93
2.316,33.95,20.00,13.95,-0.54,0.00,3.09,426.09
2.366,34.46,20.00,14.46,3.22,0.00,8.90,432.32
2.416,34.46,20.00,14.46,2.09,0.00,8.00,437.92
2.466,34.46,20.00,14.46,1.36,0.00,7.51,443.18
2.516,34.46,20.00,14.46,0.88,0.00,6.36,447.63
2.566,34.46,20.00,14.46,0.57,0.00,5.53,451.50
2.616,34.46,20.00,14.46,0.37,0.00,5.09,455.06
2.666,34.46,20.00,14.46,0.24,0.00,4.78,458.41
2.717,34.48,20.00,14.48,0.29,0.00,4.91,461.84
2.768,34.46,20.00,14.46,0.05,0.00,4.21,464.79
2.819,34.46,20.00,14.46,0.04,0.00,4.14,467.68
2.869,34.46,20.00,14.46,0.02,0.00,4.09,470.55
2.919,34.46,20.00,14.46,0.01,0.00,4.06,473.39
2.969,34.46,20.00,14.46,0.01,0.00,4.04,476.21
3.019,34.46,20.00,14.46,0.01,0.00,4.03,479.03
3.069,34.46,20.00,14.46,0.00,0.00,4.02,481.84
3.119,34.46,20.00,14.46,0.00,0.00,4.01,484.65
3.169,34.46,20.00,14.46,0.00,0.00,4.01,487.46
3.219,34.46,20.00,14.46,0.00,0.00,4.00,490.26
3.269,34.46,20.00,14.46,0.00,0.00,4.00,493.06
3.319,34.46,20.00,14.46,0.00,0.00,4.00,495.86
3.369,34.46,20.00,14.46,0.00,0.00,4.00,498.66
3.419,34.46,20.00,14.46,0.00,0.00,4.00,501.46
3.470,34.46,20.00,14.46,0.00,0.00,4.00,504.26
3.520,34.46,20.00,14.46,0.00,0.00,4.00,507.06
3.570,34.46,20.00,14.46,0.00,0.00,4.00,509.86
3.620,34.46,20.00,14.46,0.00,0.00,4.00,512.66
3.670,34.46,20.00,14.46,0.00,0.00,4.00,515.46
3.720,34.46,20.00,14.46,0.00,0.00,4.00,518.26
3.770,34.46,20.00,14.46,0.00,0.00,4.00,521.06
3.820,34.46,20.00,14.46,0.00,0.00,4.00,523.86
3.870,34.46,20.00,14.46,0.00,0.00,4.00,526.66
3.920,34.46,20.00,14.46,0.00,0.00,4.00,529.46
3.970,34.73,20.00,14.73,1.89,0.00,8.00,535.06
4.020,34.46,20.00,14.46,-0.66,0.00,2.90,537.09
4.071,34.73,20.00,14.73,1.42,0.00,7.71,542.49
4.121,34.73,20.00,14.73,0.92,0.00,6.47,547.02
4.171,34.48,20.00,14.48,-1.15,0.00,2.15,548.52
4.221,34.48,20.00,14.48,-0.75,0.00,2.76,550.45
4.271,34.48,20.00,14.48,-0.49,0.00,3.18,552.68
4.321,34.46,20.00,14.46,-0.46,0.00,3.22,554.93
4.371,34.46,20.00,14.46,-0.30,0.00,3.43,557.33
4.421,33.95,20.00,13.95,-3.76,0.00,1.06,558.08
4.471,33.95,20.00,13.95,-2.45,0.00,1.50,559.13
4.521,33.95,20.00,13.95,-1.59,0.00,1.50,560.18
4.571,33.95,20.00,13.95,-1.03,0.00,2.30,561.78
4.622,33.95,20.00,13.95,-0.67,0.00,2.88,563.80
4.672,33.95,20.00,13.95,-0.44,0.00,3.24,566.07
4.722,34.20,20.00,14.20,1.47,0.00,7.87,571.58
4.772,34.20,20.00,14.20,0.95,0.00,6.54,576.16
4.822,34.20,20.00,14.20,0.62,0.00,5.65,580.11
4.872,34.20,20.00,14.20,0.40,0.00,5.15,583.72
4.922,33.97,20.00,13.97,-1.35,0.00,1.83,585.00
4.972,33.97,20.00,13.97,-0.88,0.00,2.54,586.78
5.022,34.48,20.00,14.48,3.00,0.00,8.00,592.38
5.072,34.48,20.00,14.48,1.95,0.00,8.00,597.98
5.122,33.97,20.00,13.97,-2.30,0.00,1.50,599.03
5.172,34.20,20.00,14.20,0.11,0.00,4.41,602.11
5.222,34.99,20.00,14.99,5.60,0.00,12.00,610.51
5.272,34.99,20.00,14.99,3.64,0.00,10.88,618.13
5.322,34.73,20.00,14.73,0.55,0.00,5.46,621.95
5.372,34.73,20.00,14.73,0.36,0.00,5.05,625.48
5.422,34.20,20.00,14.20,-3.48,0.00,1.24,626.35
5.472,34.20,20.00,14.20,-2.26,0.00,1.50,627.40
5.522,34.20,20.00,14.20,-1.47,0.00,1.57,628.50
5.572,33.69,20.00,13.69,-4.53,0.00,0.48,628.84
5.623,33.69,20.00,13.69,-2.94,0.00,1.50,629.89
5.674,33.93,20.00,13.93,-0.26,0.00,3.48,632.32
5.724,33.69,20.00,13.69,-1.85,0.00,1.50,633.37
5.774,33.69,20.00,13.69,-1.20,0.00,2.07,634.82
5.824,33.93,20.00,13.93,0.90,0.00,6.39,639.30
5.874,33.69,20.00,13.69,-1.10,0.00,2.22,640.85
5.924,33.93,20.00,13.93,0.97,0.00,6.58,645.45
5.974,33.68,20.00,13.68,-1.12,0.00,2.19,646.98
6.024,33.15,20.00,13.15,-4.44,0.00,0.55,647.37
6.074,32.10,20.00,12.10,-10.24,0.00,0.00,647.37
6.124,31.84,20.00,11.84,-8.47,0.00,0.00,647.37
6.174,31.31,20.00,11.31,-9.22,0.00,0.00,647.37
6.224,31.31,20.00,11.31,-5.99,0.00,0.00,647.37
6.274,31.08,20.00,11.08,-5.50,0.00,0.00,647.37
6.324,31.08,20.00,11.08,-3.58,0.00,1.18,648.20
6.374,31.08,20.00,11.08,-2.33,0.00,1.50,649.25
6.424,31.08,20.00,11.08,-1.51,0.00,1.50,650.30
6.474,31.08,20.00,11.08,-0.98,0.00,2.45,652.01
6.524,16.06,20.00,-3.94,-105.78,-0.20,-0.02,652.00
6.575,14.72,20.00,-5.28,-77.95,-0.46,-10.06,644.96
6.625,13.72,20.00,-6.28,-57.67,-0.78,-10.09,637.89
6.675,13.72,20.00,-6.28,-37.48,-1.09,-10.13,630.80
6.725,13.72,20.00,-6.28,-24.37,-1.40,-10.17,623.68
6.775,13.72,20.00,-6.28,-15.84,-1.71,-10.21,616.54
6.825,13.72,20.00,-6.28,-10.29,-2.02,-6.40,612.06
6.875,25.13,20.00,5.13,73.18,-1.76,12.00,620.46
6.926,21.78,20.00,1.78,-0.25,0.09,-4.94,492.03
6.977,21.78,20.00,1.78,-0.09,0.18,-4.97,489.50
7.027,21.78,20.00,1.78,-0.03,0.27,-4.98,487.34
