tiempo,distancia,setpoint,error,derivada,integral,delta_pwm,pwm
0.007,34.44,15.00,19.44,680.40,0.00,0.00,250.00
0.057,34.69,15.00,19.69,444.01,0.00,0.00,250.00
0.107,34.68,15.00,19.68,288.54,0.00,0.00,250.00
0.157,34.68,15.00,19.68,187.55,0.00,0.00,250.00
0.208,34.44,15.00,19.44,120.26,0.00,0.00,250.00
0.259,34.68,15.00,19.68,79.82,0.00,12.00,258.40
0.309,34.44,15.00,19.44,50.20,0.00,12.00,266.80
0.360,34.43,15.00,19.43,32.56,0.00,12.00,275.20
0.410,34.17,15.00,19.17,19.34,0.00,12.00,283.60
0.460,34.17,15.00,19.17,12.57,0.00,12.00,292.00
0.510,34.43,15.00,19.43,9.99,0.00,12.00,300.40
0.560,34.43,15.00,19.43,6.50,0.00,12.00,308.80
0.610,34.15,15.00,19.15,2.26,0.00,8.00,314.40
0.660,34.15,15.00,19.15,1.47,0.00,7.89,319.92
0.710,34.15,15.00,19.15,0.96,0.00,6.55,324.50
0.760,34.15,15.00,19.15,0.62,0.00,5.66,328.46
0.810,34.15,15.00,19.15,0.40,0.00,5.15,332.07
0.861,34.15,15.00,19.15,0.26,0.00,4.83,335.45
0.911,34.44,15.00,19.44,2.20,0.00,8.00,341.05
0.961,34.44,15.00,19.44,1.43,0.00,7.74,346.47
1.011,34.68,15.00,19.68,2.61,0.00,8.00,352.07
1.061,35.46,15.00,20.46,7.16,0.00,12.00,360.47
1.111,35.46,15.00,20.46,4.65,0.00,12.00,368.87
1.161,34.95,15.00,19.95,-0.55,0.00,3.09,371.03
1.211,34.94,15.00,19.94,-0.43,0.00,3.25,373.31
1.261,34.95,15.00,19.95,-0.21,0.00,3.57,375.81
1.312,34.95,15.00,19.95,-0.13,0.00,3.70,378.40
1.362,34.95,15.00,19.95,-0.09,0.00,3.80,381.06
1.412,34.95,15.00,19.95,-0.06,0.00,3.87,383.77
1.462,34.95,15.00,19.95,-0.04,0.00,3.91,386.51
1.512,34.94,15.00,19.94,-0.09,0.00,3.79,389.16
1.562,34.94,15.00,19.94,-0.06,0.00,3.86,391.86
1.612,34.94,15.00,19.94,-0.04,0.00,3.90,394.59
1.663,33.92,15.00,18.92,-7.03,0.00,0.00,394.59
1.714,33.92,15.00,18.92,-4.57,0.00,0.44,394.90
1.764,33.63,15.00,18.63,-5.00,0.00,0.00,394.90
1.814,33.90,15.00,18.90,-1.36,0.00,1.81,396.16
1.864,33.90,15.00,18.90,-0.88,0.00,2.53,397.93
1.914,34.68,15.00,19.68,4.89,0.00,12.00,406.33
1.964,34.17,15.00,19.17,-0.39,0.00,3.29,408.64
2.014,34.17,15.00,19.17,-0.26,0.00,3.49,411.08
2.064,34.17,15.00,19.17,-0.17,0.00,3.64,413.63
2.114,34.17,15.00,19.17,-0.11,0.00,3.76,416.26
2.165,34.17,15.00,19.17,-0.07,0.00,3.84,418.95
2.215,34.17,15.00,19.17,-0.05,0.00,3.89,421.67
2.265,34.17,15.00,19.17,-0.03,0.00,3.93,424.42
2.315,34.17,15.00,19.17,-0.02,0.00,3.95,427.19
2.365,33.90,15.00,18.90,-1.90,0.00,1.50,428.24
2.418,33.90,15.00,18.90,-1.24,0.00,2.02,429.65
2.468,33.64,15.00,18.64,-2.62,0.00,1.50,430.70
2.518,33.64,15.00,18.64,-1.71,0.00,1.50,431.75
2.568,33.64,15.00,18.64,-1.11,0.00,2.20,433.29
2.618,33.64,15.00,18.64,-0.72,0.00,2.80,435.25
2.668,33.64,15.00,18.64,-0.47,0.00,3.20,437.49
2.718,33.64,15.00,18.64,-0.30,0.00,3.42,439.89
2.768,33.64,15.00,18.64,-0.20,0.00,3.59,442.40
2.818,33.66,15.00,18.66,0.01,0.00,4.04,445.23
2.869,34.15,15.00,19.15,3.37,0.00,9.58,451.93
2.920,34.15,15.00,19.15,2.19,0.00,8.00,457.53
2.971,34.15,15.00,19.15,1.42,0.00,7.72,462.93
3.021,34.15,15.00,19.15,0.93,0.00,6.47,467.46
3.071,34.15,15.00,19.15,0.60,0.00,5.60,471.38
3.121,34.43,15.00,19.43,2.35,0.00,8.00,476.98
3.171,34.15,15.00,19.15,-0.43,0.00,3.25,479.26
3.221,34.41,15.00,19.41,1.54,0.00,8.00,484.86
3.271,34.95,15.00,19.95,4.78,0.00,12.00,493.26
3.321,34.95,15.00,19.95,3.11,0.00,8.44,499.16
3.371,34.94,15.00,19.94,1.95,0.00,8.00,504.76
3.421,34.43,15.00,19.43,-2.30,0.00,1.50,505.81
3.472,34.43,15.00,19.43,-1.50,0.00,1.51,506.87
3.523,34.43,15.00,19.43,-0.97,0.00,2.38,508.53
3.573,34.94,15.00,19.94,2.94,0.00,8.00,514.13
3.623,34.43,15.00,19.43,-1.66,0.00,1.50,515.18
3.673,34.43,15.00,19.43,-1.08,0.00,2.24,516.75
3.723,34.43,15.00,19.43,-0.70,0.00,2.83,518.73
3.773,34.43,15.00,19.43,-0.46,0.00,3.22,520.99
3.823,34.43,15.00,19.43,-0.30,0.00,3.43,523.39
3.873,34.43,15.00,19.43,-0.19,0.00,3.60,525.90
3.923,33.90,15.00,18.90,-3.84,0.00,1.01,526.61
